"Якби-то ти, Богдане п’яний",Тарас Шевченко,https://knigogo.com.ua/knigi/yakby-to-ty-bogdane-p-yanyj/
"Я не нездужаю, нівроку",Тарас Шевченко,https://knigogo.com.ua/knigi/ya-ne-nezduzhayu-nivroku/
Що таке поступ?,Іван Франко,https://knigogo.com.ua/knigi/shho-take-postup/
"Заповіт (Як умру, то пох...",Тарас Шевченко,https://knigogo.com.ua/knigi/zapovit/
Таємне Товариство Боягуз...,Леся Воронина,https://knigogo.com.ua/knigi/tayemne-tovarystvo-boyaguziv/
Лис Микита,Іван Франко,https://knigogo.com.ua/knigi/lys-mykyta/
Виклик,Михайло Петрович Старицький,https://knigogo.com.ua/knigi/vyklyk/
Скорочено Джим Ґудзик і ...,Міхаель Енде,https://knigogo.com.ua/knigi/skorocheno-dzhym-gudzyk-i-mashynist-lukas/
Айвенго,Вальтер Скотт,https://knigogo.com.ua/knigi/ajvengo/
Абу-Касимові капці,Іван Франко,https://knigogo.com.ua/knigi/abu-kasymovi-kaptsi/
В катакомбах,Леся Українка,https://knigogo.com.ua/knigi/v-katakombah/
Дванадцять місяців (12 м...,Самуїл Маршак,https://knigogo.com.ua/knigi/12-misyatsiv/
Борислав сміється,Іван Франко,https://knigogo.com.ua/knigi/boryslav-smiyetsya/
Тарасова ніч,Тарас Шевченко,https://knigogo.com.ua/knigi/tarasova-nich/
Вірші,Леонід Глібов,https://knigogo.com.ua/knigi/virshi/
Січові гості,Пантелеймон Куліш,https://knigogo.com.ua/knigi/sichovi-gosti/
Біда бабі Палажці Солов&...,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/bida-babi-palazhtsi-solov-yisi/
З вершин і низин,Іван Франко,https://knigogo.com.ua/knigi/z-vershyn-i-nyzyn/
Максим Гримач,Марко Вовчок,https://knigogo.com.ua/knigi/maksym-grymach/
"Де зерно, там і полова",Марко Лукич Кропивницький,https://knigogo.com.ua/knigi/de-zerno-tam-i-polova/
На крилах пісень,Леся Українка,https://knigogo.com.ua/knigi/na-krylah-pisen/
Великі проводи,Пантелеймон Куліш,https://knigogo.com.ua/knigi/velyki-provody/
Дорога й ластівка,Микола Хвильовий,https://knigogo.com.ua/knigi/doroga-j-lastivka/
Лось,Євген Гуцало,https://knigogo.com.ua/knigi/los/
Коні не винні,Михайло Коцюбинський,https://knigogo.com.ua/knigi/koni-ne-vynni/
В путах Шайтана,Михайло Коцюбинський,https://knigogo.com.ua/knigi/v-putah-shajtana/
Троє схотінок,Пантелеймон Куліш,https://knigogo.com.ua/knigi/troye-shotinok/
Оповiдання (збірник),Марко Вовчок,https://knigogo.com.ua/knigi/opovidannya-zbirnyk/
Із літ моєї молодості,Іван Франко,https://knigogo.com.ua/knigi/iz-lit-moyeyi-molodosti/
Загадки,Леонід Глібов,https://knigogo.com.ua/knigi/zagadky/
Куліш у пеклі,Пантелеймон Куліш,https://knigogo.com.ua/knigi/kulish-u-pekli/
На кожум’яках,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/na-kozhum-yakah/
Повість минулих літ,Нестор Літописець,https://knigogo.com.ua/knigi/povist-mynulyh-lit/
Ніч на Дніпрі,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/nich-na-dnipri/
Заворожена криниця,Пантелеймон Куліш,https://knigogo.com.ua/knigi/zavorozhena-krynytsya/
"Глитай, або ж Павук",Марко Лукич Кропивницький,https://knigogo.com.ua/knigi/glytaj-abo-zh-pavuk/
Ой у лузі червона калина...,Степан Чарнецький,https://knigogo.com.ua/knigi/oj-u-luzi-chervona-kalyna-pohylylasya/
Дон Жуан,Пантелеймон Куліш,https://knigogo.com.ua/knigi/don-zhuan/
Пісні про волю,Леся Українка,https://knigogo.com.ua/knigi/pisni-pro-volyu/
Комета прилітає,Туве Янссон,https://knigogo.com.ua/knigi/kometa-prylitaye/
Скорочено Чарівна крамниця,Герберт Уеллс,https://knigogo.com.ua/knigi/skorocheno-charivna-kramnytsya/
Невільничка,Марко Вовчок,https://knigogo.com.ua/knigi/nevilnychka/
"Чому, сказати, й сам не ...",Андрій Малишко,https://knigogo.com.ua/knigi/chomu-skazaty-j-sam-ne-znayu/
Мурашки й Цикада,Езоп,https://knigogo.com.ua/knigi/murashky-j-tsykada/
Чарівник Смарагдового міста,Олександр Волков,https://knigogo.com.ua/knigi/charivnyk-smaragdovogo-mista/
Мауглі,Редьярд Кіплінг,https://knigogo.com.ua/knigi/maugli/
За сонцем хмаронька пливе,Тарас Шевченко,https://knigogo.com.ua/knigi/za-sontsem-hmaronka-plyve/
Дим,Ігор Калинець,https://knigogo.com.ua/knigi/dym-igor-kalinets/
Скорочено Війна і мир,Лев Толстой,https://knigogo.com.ua/knigi/skorocheno-vijna-i-myr/
Іван Підкова,Тарас Шевченко,https://knigogo.com.ua/knigi/ivan-pidkova/
Пані Метелиця,Брати (Якоб і Вільгельм) Грімм,https://knigogo.com.ua/knigi/pani-metelytsya/
Андріївський узвіз,Володимир Діброва,https://knigogo.com.ua/knigi/andriyivskyj-uzviz/
Лоліта,Володимир Набоков,https://knigogo.com.ua/knigi/lolita/
Скорочено П’ятнадц...,Жуль Верн,https://knigogo.com.ua/knigi/skorocheno-pyatnadtsyatyrichnyj-kapitan/
Лисиця і виноград,Езоп,https://knigogo.com.ua/knigi/lysytsya-i-vynograd/
Скорочено Дари волхвів,О. Генрі,https://knigogo.com.ua/knigi/skorocheno-dary-volhviv/
Якщо,Редьярд Кіплінг,https://knigogo.com.ua/knigi/yakshho/
"Ой ти, дівчино, з горіха...",Іван Франко,https://knigogo.com.ua/knigi/oj-ty-divchyno-z-goriha-zernya/
Любіть Україну,Володимир Сосюра,https://knigogo.com.ua/knigi/lyubit-ukrayinu/
Все літо в один день,Рей Бредбері,https://knigogo.com.ua/knigi/vse-lito-v-odyn-den/
Мартін Іден,Джек Лондон,https://knigogo.com.ua/knigi/martin-iden/
Скорочено Тигролови,Іван Багряний,https://knigogo.com.ua/knigi/skorocheno-tygrolovy/
Незнайко в Сонячному місті,Микола Носов,https://knigogo.com.ua/knigi/neznajko-v-sonyachnomu-misti/
Стежечка,Ігор Калинець,https://knigogo.com.ua/knigi/stezhechka/
"Слово, чому ти не тверда...",Леся Українка,https://knigogo.com.ua/knigi/slovo-chomu-ty-ne-tverdaya-krytsya/
Лобо – володар Курумпо,Ернест Сетон-Томпсон,https://knigogo.com.ua/knigi/lobo-volodar-kurumpo/
Мертві душі,Микола Гоголь,https://knigogo.com.ua/knigi/mertvi-dushi/
"Ти знаєш, що ти — людина",Василь Симоненко,https://knigogo.com.ua/knigi/ty-znayesh-shho-ty-lyudyna/
Троє поросят,С.Міхалков,https://knigogo.com.ua/knigi/troye-porosyat/
Кавказ,Тарас Шевченко,https://knigogo.com.ua/knigi/kavkaz/
Пісня над піснями,Шолом-Алейхем,https://knigogo.com.ua/knigi/pisnya-nad-pisnyamy/
Веселка,Ігор Калинець,https://knigogo.com.ua/knigi/veselka/
Товстий і тонкий,Антон Чехов,https://knigogo.com.ua/knigi/tovstyj-i-tonkyj/
Дівчина з ведмедиком,Віктор Петров (Домонтович),https://knigogo.com.ua/knigi/divchyna-z-vedmedykom/
Війна і мир,Лев Толстой,https://knigogo.com.ua/knigi/vijna-i-myr/
Майстер і Маргарита,Михайло Булгаков,https://knigogo.com.ua/knigi/majster-i-margaryta/
Хатина дядька Тома,Гаррієт Бічер-Стоу,https://knigogo.com.ua/knigi/hatyna-dyadka-toma/
Скорочено Айвенго,Вальтер Скотт,https://knigogo.com.ua/knigi/skorocheno-ajvengo/
Світязь,Адам Міцкевич,https://knigogo.com.ua/knigi/svityaz/
Impromtu phantasie (Фант...,Ольга Кобилянська,https://knigogo.com.ua/knigi/impromtu-phantasie/
Скорочено Захар Беркут,Іван Франко,https://knigogo.com.ua/knigi/skorocheno-zahar-berkut/
Клуб самогубців,Роберт Луїс Стівенсон,https://knigogo.com.ua/knigi/klub-samogubtsiv/
Москаль-чарівник,Іван Котляревський,https://knigogo.com.ua/knigi/moskal-charivnyk/
Вітрогон,Іван Нечуй-Левицький,https://knigogo.com.ua/knigi/vitrogon/
